id,host_id,street,city,suburb,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
13757390,47936742,Southbank,Melbourne,Southbank,VIC,3006,-37.82119562,144.9662468,Apartment,Entire home/apt,6,2,3,220,,,400,65,4,16,2,1125,2 weeks ago,t,3,15,38,125,198,97,10,10,10,10,10,10,4,6.66
17465305,98798133,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81509052,144.9531511,Apartment,Private room,2,1,1,60,,,,12,1,0,2,1125,yesterday,t,1,16,40,71,128,93,10,9,9,9,10,9,1,6.66
7017140,30900122,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81580191,144.9531668,Apartment,Entire home/apt,4,1,2,136,1120,4400,200,65,2,15,1,1125,today,t,21,42,65,324,268,97,10,10,10,10,10,10,35,6.65
25086791,180074766,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81440475,144.952492,Apartment,Entire home/apt,6,2,3,195,,,300,79,4,15,1,1125,today,t,20,34,58,83,43,92,9,9,9,10,10,9,38,6.65
10739864,8530753,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81969513,144.9568486,Apartment,Entire home/apt,4,1,2,114,,,199,69,3,14,1,1124,today,t,24,50,80,341,231,92,10,9,10,10,10,9,98,6.65
12255067,10708254,Saint Kilda,Port Phillip,Saint Kilda,VIC,3182,-37.86114926,144.9766976,Apartment,Entire home/apt,6,2,3,132,,,300,120,4,25,1,1125,today,t,13,37,67,322,181,98,10,10,10,10,10,9,11,6.64
22652977,166834374,Docklands,Melbourne,Docklands,VIC,3008,-37.82032635,144.9431313,Serviced apartment,Entire home/apt,6,2,4,161,,,400,70,4,30,1,1125,5 days ago,t,14,27,27,27,69,91,9,9,9,10,10,9,1,6.63
27892840,161294569,Docklands,Melbourne,Docklands,VIC,3008,-37.81412146,144.9478206,Apartment,Entire home/apt,8,3,7,350,,,200,145,8,30,1,1125,3 weeks ago,t,5,5,5,5,13,94,10,10,10,10,10,10,1,6.61
19212431,134352092,Moonee Ponds,Moonee Valley,Moonee Ponds,VIC,3039,-37.76906992,144.9233963,Apartment,Entire home/apt,6,3,3,158,,,900,90,6,0,1,1125,today,t,6,33,60,320,117,98,10,10,9,10,10,10,2,6.61
23230592,172836071,Tullamarine,Hume,Tullamarine,VIC,3043,-37.70584118,144.8707974,House,Private room,2,1,1,40,,,0,8,2,0,1,3,today,t,2,10,40,40,65,97,10,10,10,10,10,10,1,6.59
